url,title,address,region,contact_person,telephone,mobile,fax,price_purchase,estimated_monthly_rate,rooms,living_area_m2,furnishing,flat_type,floor,floor_total,bedrooms,commission_buyer_rate,maintenance_cost,construction_year,object_state,heating_type,energy_efficiency_class,location,other_information
https://www.immobilienscout24.de/expose/118517231#/,Galeriewohnung mit Balkon: Blick über Ammerndorf inklusive,,"90614 Ammerndorf, Fürth (Kreis)",,['09122 8880366'],['0160 90277422'],['09122 8880368'], 369.000 € ,, 4 , 130 m² ,"['Balkon/ Terrasse', 'Einbauküche']", Maisonette ,1,0, 1 ,"4,64 % inkl. der gesetzlichen Mehrwertsteuer.",,1998, Gepflegt , Gas-Heizung , C ,"Ammerndorf ist ein Markt im mittelfränkischen Landkreis Fürth. Mitten im Grünen gelegen, und dennoch mit sehr guter Anbindung in alle Richtungen. Die wunderschöne, direkt angrenzende Natur lädt zu Ausflügen aller Art ein. Kindergarten, Schule, Ärzte, Einkaufsmöglichkeiten usw. sind vorhanden.","Einbauküche NOLTE 
Speisekammer neben Einbauküche
Kamin
Markise
Böden: Fliesen / Laminat
Fußbodenheizung in der ersten Wohnebene
Heizkörper im DG
Heizung Gas
Stellplatz
Balkon mit einem neuwertigen Belag
Abstellraum für WM, Trockner etc.
Fernblick
Bad mit Fenster, Eckwanne und Dusche
Holz-Wendeltreppe zum DG
Elektrorollo  Fensterfront Balkonseite
Holz- und Kunststoff-Fenster
DG kann individuell vom Käufer angepasst / verändert werden"
https://www.immobilienscout24.de/expose/121264474#/,IMMOPARTNER - Neubau-Wohnung in kleiner exklusiver Wohnanlage,,"90513 Zirndorf, Fürth (Kreis)",,['01573 0027836'],['01573 0027836'],['0911 47776014'], 480.000 € ,, 4 ," 107,38 m² ","['Einbauküche', 'Keller']", Terrassenwohnung ,1,0, 3 ,"3,48 % vom Verkaufspreis inkl. MwSt., vom Käufer zu zahlen bei notarieller Beurkundung.",,2017, Neuwertig , Zentralheizung , B ,"Die Stadt Zirndorf liegt südlich von Fürth und westlich von Nürnberg am Fluss Bibert. Die Nachbargemeinden sind (im Norden beginnend im Uhrzeigersinn) Fürth, Oberasbach, Stein, Roßtal, Ammerndorf und Cadolzburg.

EINKAUFEN
Verschiedene Einkaufsmöglichkeiten wie zwei REWE-Filialen, ein Lidl und das Einkaufszentrum ""ZIM"" befinden sich ca. 1,3 bis 1,4 km entfernt (ca. 4 Autominuten). Zwei Kalchreuther Bäcker, eine Beck-Filiale sowie die Bäckerein Phillip und eine Metzgerei sind ebenso nah. 

FREIZEIT
Zum Zimmermannspark sind es nur ca. 500m - hier ist ein Spielplatz, an welchem sich Ihr Kind austoben kann. Ansonsten ist der Park ein schönes Plätzchen zum Verweilen. Ziemlich daneben liegt der Stadtpark in Zirndorf sowie der angliedernde...

weiterlesen auf www.immopartner.de","BITTE STELLEN SIE BEI INTERESSE ZUR IMMOBILIE AUSSCHLIEßLICH EINE ANFRAGE ÜBER UNSERE HOMEPAGE www.immopartner.de; hier finden Sie auch weitere BILDER, 3D Besichtigungen, Grundrisse etc. 
Anfragen über die Portale IW & IS24 können leider nur verzögert bearbeitet werden!

UNSER TIPP! Alle unsere Angebote finden Sie 14 Tage vor Veröffentlichung nur auf unserer Homepage.
Werden Sie VIP-Kunde und Sie erhalten die BESTEN Angebote noch vor Vermarktungsstart.  

* 4- Zimmer-Wohnung, barrierefrei
* ca. 107,38 m² Wohnfläche
* BJ ca. 2017
* 1.OG mit Personenaufzug
* Die Wohnung nimmt die gesamte Etage ein
* Große Terrasse mit Glaselementen und schönen grauen Bodenplatten
* Zusätzlicher Balkon am Schlafzimmer
* Große Wohnküche mit Essbereich - bildet mit Wohnzimmer ein offenes Ensamble
* TOP moderne, edle, weiße Einbauküche mit hochwertigen Geräten und einem Küchenblock mittig im Raum
* Modernes Tageslicht-Badezimmer mit Wanne und ebenerdiger, barrierefreier Dusche, Waschbecken, WC 
* Gäste-Duschbad mit ebenerdiger, barrierefreier Dusche, WC, Waschbecken
* Böden in Wohnräumen sind ausgelegt mit großformatigen, grauen Fliesen
* 1 Tiefgaragenstellplatz (zzgl. 15.000 € )
* 1 Kellerraum"
https://www.immobilienscout24.de/expose/119807872#/,++ Leben im Grünen und stadtnah zugleich: 3-Zimmer-Penthauswohnung mit herrlicher Dachterrasse ++,,"90513 Zirndorf, Fürth (Kreis)",,['09122 8870618'],['01512 2454520'],['09122 8870622'], 474.300 € ,, 3 , 93 m² ,"['Personenaufzug', 'Balkon/ Terrasse']", Penthouse ,3,4, 2 ,Provisionsfrei,,2019, Erstbezug , Fußbodenheizung ,,"Einkaufsmöglichkeiten des täglichen Bedarfs, Ärzte, Schulen und Kindergärten in unmittelbarer Nähe. Breites Angebot an Freizeit- und Naherholungsmöglichkeiten.
Ideale Infrastruktur - Bahnhof ca. 450 m, Südwesttangente ca. 1,3 km entfernt.

Entfernungen:
Fürth Zentrum - ca. 6 km / ca. 13 Min. Fahrt
Nürnberg Zentrum - ca. 12 km / ca. 20 Min. Fahrt","+ Dachterrasse
+ Fußbodenheizung mit Einzelraumsteuerung
+ elektr. Rollos
+ Design-Badezimmer mit bodengleicher Dusche
+ Aufzug
+ Tiefgarage
+ schwellenfreier Zugang
+ provisionsfrei"
https://www.immobilienscout24.de/expose/119807845#/,++ 3- Zi. - Wohnung in traumhaft ruhiger Lage in Zirndorf ++,,"90513 Zirndorf, Fürth (Kreis)",,['09122 8870618'],['01512 2454520'],['09122 8870622'], 409.800 € ,, 3 , 82 m² ,"['Personenaufzug', 'Balkon/ Terrasse']", Erdgeschosswohnung ,0,0, 2 ,Provisionsfrei,,2019, Erstbezug , Fußbodenheizung ,,"Einkaufsmöglichkeiten des täglichen Bedarfs, Ärzte, Schulen und Kindergärten in unmittelbarer Nähe
breites Angebot an Freizeit- und Naherholungsmöglichkeiten
ideale Infrastruktur - Bahnhof ca. 450 m, Südwesttangente ca. 1,3 km entfernt

Entfernungen:
Fürth Zentrum - ca. 6 km / ca. 13 Min. Fahrt
Nürnberg Zentrum - ca. 12 km / ca. 20 Min. Fahrt","+ provisionsfrei
+ Terrasse
+ Fußbodenheizung mit Einzelraumsteuerung
+ elektr. Rollos
+ Design-Badezimmer mit bodengleicher Dusche
+ Aufzug
+ Tiefgarage
+ schwellenfreier Zugang"
https://www.immobilienscout24.de/expose/119807676#/,++ Lichtdurchflutete 2-Zimmer-Design-Wohnung mit Garten in entspannter Lage ++,,"90513 Zirndorf, Fürth (Kreis)",,['09122 8870618'],['01512 2454520'],['09122 8870622'], 300.400 € ,, 2 , 60 m² ,"['Personenaufzug', 'Balkon/ Terrasse']", Erdgeschosswohnung ,0,0, 1 ,Provisionsfrei,,2019, Erstbezug , Fußbodenheizung ,,"Einkaufsmöglichkeiten des täglichen Bedarfs, Ärzte, Schulen und Kindergärten in unmittelbarer Nähe
breites Angebot an Freizeit- und Naherholungsmöglichkeiten
ideale Infrastruktur - Bahnhof ca. 450 m, Südwesttangente ca. 1,3 km entfernt

Entfernungen:
Fürth Zentrum - ca. 6 km / ca. 13 Min. Fahrt
Nürnberg Zentrum - ca. 12 km / ca. 20 Min. Fahrt","+ provisionsfrei
+ Terrasse
+ Fußbodenheizung mit Einzelraumsteuerung
+ elektr. Rollos
+ Design-Badezimmer mit bodengleicher Dusche
+ Aufzug
+ Tiefgarage
+ schwellenfreier Zugang"
https://www.immobilienscout24.de/expose/121361826#/,Gemütliche Wohnung zu verkaufen," Obere Ringstraße 14a,","90579 Langenzenn, Fürth (Kreis)",,[],['0176 55605992'],[], 285.000 € ,, 4 , 79 m² ,"['Balkon/ Terrasse', 'Gäste-WC', 'Keller', 'Provisionsfrei']", Dachgeschoss ,3,4, 3 ,, 217 € ,1998, Vollständig renoviert , Öl-Heizung ,,"Die Wohnung liegt nahe dem Stadtzentrum, so dass Geschäfte, Ärzte, Bahnhof und Schulen zu Fuss erreichbar sind.","Zur Wohnung gehören ein Duplexparker- Stellplatz und ein geräumiges Kellerabteil,
Waschraum, Trockenraum und Fahrradkeller zur Allgemeinbenutzung."
https://www.immobilienscout24.de/expose/114128591#/,Schöner wohnen in Zirndorf - Exclusive 3-Zimmerwohnung (auch als 4 Zimmer) mit großem Balkon,,"90513 Zirndorf, Fürth (Kreis)",,['0911 43039001'],['0178 3860997'],[], 495.500 € ,, 3 ," 115,41 m² ","['Personenaufzug', 'Balkon/ Terrasse', 'Keller', 'Provisionsfrei']", Etagenwohnung ,1,4, 2 ,Nein,,2020, Erstbezug , Zentralheizung , A+ ,"Zirndorf liegt im Städteverbund von Nürnberg und Fürth. Das Objekt befindet sich in infrastruktureller Best-Lage. Alle Dinge des täglichen Lebens befinden sich in unmittelbarer Nachbarschaft: Einkaufen, Schule, Kindergarten, Bus und Bahn sowie viele Freizeitgestaltungsmöglichkeiten. 
In wenigen Minuten sind auch alle wichtigen Autobahnen erreichbar.","- 2- bis 4- Zimmer-Wohnungen für Singles, Paare und Familien
- Loft Wohnungen mit Galerie-Studio, hohen Decken und Luftraum
- große Terrassen und Balkone mit Blick über die Stadt
- hochwertige Ausstattung und Fußbodenheizung 
- großzügige Grünflächen zwischen den Gebäuden
- Personenaufzüge und Videosprechanlage
- Tiefgarage und Fahrradstellplätze"
https://www.immobilienscout24.de/expose/121606539#/,"Helle 2,5-Zimmer-Maisonettewhg (Umbau zu 3,5 Zimmer möglich) mit Balkon + TG-Stellplatz"," Parkstraße 13,","90547 Stein, Fürth (Kreis)",,['0911 7903131'],[],['0911 771577'], 329.000 € ,," 2,5 "," 102,83 m² ","['Balkon/ Terrasse', 'Gäste-WC', 'Einbauküche', 'Keller']", Maisonette ,2,0, 1 ,"4,76 inkl. MwSt. aus dem Kaufpreis, verdient und fällig bei Abschluss des notariellen Kaufvertages.", 290 € ,1991, Gepflegt , Zentralheizung ,,"Ideale Lage mit kurzen Wegen:

- Das Steiner-Forum mit sämtlichen Einkaufsläden ist direkt gegenüber dem Haus.
- Der absolut grüne Rednitz Grund (Freiland-Aquarium und -Terrarium) ist nur 150m (2 Min.) entfernt.
- Die nächste Bushaltestelle ist in ca. 200m (4 Min.) zu Fuß erreichbar.
- Die U-Bahnhaltestelle ""N-Röthenbach"" könnte in ca. 15 Gehminuten erreichbar sein.
- Das Fernstraßennetz erreicht man über die B14 bzw. Südwesttangente in nur wenigen Fahrminuten.
- Sogar ein Kur- & Freizeitbad ""Kristall Palmbeach"" im unmittelbarer Nähe zur Verfügung.","Die im 2.OG liegende lichtdurchflutete 2-Zimmer-Maisonettewohnung besticht durch einen sehr großzügigen Grundriss. Beginnend bei der Diele über zwei Bäder, bis hin zum Wohnzimmer und Südbalkon. Auch die Küche bietet viel Platz. Hier steht aktuell eine Einbauküche zur Verfügung, welche jedoch auf Wunsch durch den Verkäufer entfernt werden würde. Das Badezimmer in der unteren Etage besitzt eine Badewanne und einen Waschmaschinenanschluss.
Über eine Treppe in der Diele gelangt man in die obere Etage, dort befindet sich das Schlafzimmer und ein zusätzliches Duschbad. Auch ein kleines weiteres Zimmer für einen Kleiderschrank oder einen Schreibtisch finden Sie hier. Die großflächige Fensterfront im Schlafzimmer setzt auch hier ein Zeichen der Helligkeit der Wohnung.

Die Diele, die Küche und die Bäder sind gefliest, im Wohnzimmer liegt ein wertiger Stäbchenparkettboden und das Schlafzimmer und das kleine Zimmer besitzen einen Teppichboden, welcher wohl möglich erneuert werden müsste.

Im Kellergeschoss steht ein Waschraum, ein Kellerabteil und ein Tiefgarageneinzelstellplatz zur Verfügung.

*** Umbau zur 3,5 Zimmerwohnung ***
Nach Rücksprache mit einem Installateur besteht die Möglichkeit die Küche in das Wohnzimmer zu verlegen (Wohnküche). Die bestehende Küche könnte dann zu einem weiteren Wohn-/Arbeitszimmer umgebaut werden. Sprechen Sie uns hierzu gerne an."
https://www.immobilienscout24.de/expose/116207588#/,KfW-55: Sehr großzügige Stadtwohnung in bester Altstadtlage Zirndorf mit Aufzug-Option," Schulstrasse 16,","90513 Zirndorf, Fürth (Kreis)",,['0911 98205421'],['01516 5135353'],[], 732.400 € ,, 4 , 151 m² ,"['Personenaufzug', 'Balkon/ Terrasse', 'Gäste-WC', 'Keller', 'Stufenloser Zugang', 'Provisionsfrei']", Maisonette ,0,0, 3 ,Nein,,, Erstbezug , Fußbodenheizung ,,"Zentral in der Altstadt von Zirndorf gelegen mit Anschluss an jeglichen öffentlichen Nahverkehr sowie alle städtischen Einrichtungen und Versorgung.

Perfekte, sehr ruhige Lage in einer verkehrsberuhigten Straße. 3 Minuten Fußweg zum Bahnhof Zirndorf.

Für Familien findet sich die gesamte notwendige Infrastruktur sogar in Laufweite.

Zirndorf entwickelte sich in den letzten Jahren zu einem absoluten Geheimtip, der mit einer hohen Lebensqualität und perfekten Anbindung an das Städtedreieck Nürnberg/Fürth/Erlangen punktet. Sie haben das komplette Schulsystem vor Ort verfügbar und tolle Grünflächen in der Stadt. Hier lebt es sich einfach gut......","Die Wohnung wird umfangreich und hochwertig ausgestattet, u.a. finden Sie in der Baubeschreibung:

- Be- und Entlüftungsanlage mit Wärmerückgewinnung
- Fußbodenheizung mit Einzelraumsteuerung
- Parkettböden
- elektrische Jalousien
- Option: Vorbereitung eines Aufzugs

und viele weitere hochwertige Ausstattungsdetails. In der jetzigen Phase können viele individuelle Wünsche eines Käufers noch berücksichtigt werden."
https://www.immobilienscout24.de/expose/122028691#/,Vermietete 1-Zimmer-Wohnung in Langenzenn,,"90579 Langenzenn, Fürth (Kreis)",,['0911 7874580'],[],['0911 7874581'], 124.000 € ,, 1 , 51 m² ,"['Balkon/ Terrasse', 'Keller']",,1,0,,siehe Sonstiges, 249 € ,1994,, Zentralheizung ,,"Diese schöne Wohnung befindet sich im nördlichen Landkreis Fürth, in der Stadt Langenzenn. Den ca. 10.500 Einwohnern bietet Langenzenn eine sehr gute Infrastruktur  mit einer großen Anzahl an Einkaufsmöglichkeiten. Alles was für den täglichen Bedarf benötigt wird, wie Bäcker, Metzger, Ärzte, Banken, Apotheken und große Lebensmittelgeschäfte sind im Ort vorhanden. Langenzenn verfügt über zwei Haltestellen der Regiobahn, mit der Sie nach Fürth bzw. Nürnberg gelangen. Die B8, die in die Südwesttangente übergeht, führt Sie direkt in die Metropolregion Fürth/Nürnberg. Auch nach Erlangen, Herzogenaurach und Neustadt a. d. Aisch bestehen gute Verkehrsanbindungen. Eine Vielzahl an Freizeitaktivitäten bieten die weitläufige Natur sowie zahlreiche Sportvereine.","Diese schöne Wohnung befindet sich im nördlichen Landkreis Fürth, in der Stadt Langenzenn. Den ca. 10.500 Einwohnern bietet Langenzenn eine sehr gute Infrastruktur  mit einer großen Anzahl an Einkaufsmöglichkeiten. Alles was für den täglichen Bedarf benötigt wird, wie Bäcker, Metzger, Ärzte, Banken, Apotheken und große Lebensmittelgeschäfte sind im Ort vorhanden. Langenzenn verfügt über zwei Haltestellen der Regiobahn, mit der Sie nach Fürth bzw. Nürnberg gelangen. Die B8, die in die Südwesttangente übergeht, führt Sie direkt in die Metropolregion Fürth/Nürnberg. Auch nach Erlangen, Herzogenaurach und Neustadt a. d. Aisch bestehen gute Verkehrsanbindungen. Eine Vielzahl an Freizeitaktivitäten bieten die weitläufige Natur sowie zahlreiche Sportvereine."
